t	u (m/s)	v (m/s)	Tair (°C)	Fsol (W/m2)	vap (mbar)	cloud coverage
16084.042148	-0.440706	0.529190	4.086138	0.000000	7.600000	0.973447
16084.083816	0.054464	0.286912	3.706953	0.000000	7.700000	0.947196
16084.125484	-0.195681	-0.119572	3.993025	0.000000	7.893025	0.920945
16084.167153	0.838322	0.251667	4.300000	0.000000	7.806998	0.894694
16084.208821	-0.839522	-0.043618	3.821059	0.000000	7.807020	0.868443
16084.250489	-0.678533	-0.054913	4.192958	0.000000	7.900000	0.842192
16084.292157	-1.405574	-0.787426	4.000000	0.000000	7.600000	0.815941
16084.333825	-1.549768	-0.937875	3.792914	4.141724	7.400000	0.789690
16084.375494	-0.879567	-0.174899	3.492892	19.000000	7.200000	0.763439
16084.417162	-1.279978	-0.593013	3.107130	27.213914	7.007130	0.737188
16084.458830	-1.636538	-0.415597	2.885695	28.856948	6.992847	0.710937
16084.500498	-1.553738	-0.476156	2.107175	38.071748	6.700000	0.684686
16084.542166	-3.181143	-1.040247	1.592803	35.503783	6.500000	0.658435
16084.583835	-1.418047	-0.461189	2.107219	22.360952	6.600000	0.632184
16084.625503	-0.280858	-1.405351	2.492759	20.710352	6.692759	0.605933
16084.667171	-0.441719	-0.748029	2.585473	2.854733	6.800000	0.579682
16084.708839	0.123875	-0.211421	2.692715	0.000000	6.992715	0.553431
16084.750507	-1.505791	-0.083782	2.892692	0.000000	7.007308	0.527180
16084.792176	-0.645779	0.276767	2.885340	0.000000	7.107330	0.500929
16084.833844	-0.794233	0.134588	2.992648	0.000000	7.000000	0.474678
16084.875512	-0.874331	0.437023	2.707374	0.000000	7.192626	0.448427
16084.917180	-0.603215	-0.314034	2.777811	0.000000	7.100000	0.422176
16084.958848	0.457091	0.163865	2.877745	0.000000	7.192582	0.395925
16085.000517	0.404773	-0.307399	2.892560	0.000000	7.107440	0.370326
16085.042185	0.306535	-0.623128	2.992537	0.000000	7.000000	0.396576
16085.083853	-0.628339	-0.466677	2.607485	0.000000	7.007485	0.422827
16085.125521	-0.772416	-0.125953	2.592493	0.000000	7.000000	0.449078
16085.167190	-0.108344	0.592928	2.269884	0.000000	6.892471	0.475329
16085.208858	-0.513950	0.027459	1.769795	0.000000	6.700000	0.501580
16085.250526	0.884932	1.031971	1.177280	0.000000	6.384853	0.527831
16085.292194	0.835033	-0.565393	1.015191	1.075955	6.215191	0.554082
16085.333862	0.214376	0.613640	1.407618	51.675881	6.407618	0.580333
16085.375531	-0.057099	-0.300173	2.245839	203.597527	6.430559	0.606584
16085.417199	0.499756	1.263874	3.977014	256.593209	6.961690	0.632835
16085.458867	1.398400	1.104660	4.315368	347.233733	6.600000	0.659086
16085.500535	0.706551	0.826790	5.169175	389.922938	7.061469	0.685337
16085.542203	0.037563	-1.037962	5.161358	194.381731	6.684543	0.711588
16085.583872	-1.265508	-0.252669	5.000000	114.457464	6.184499	0.737839
16085.625540	-0.243292	0.195380	4.800000	50.378188	5.900000	0.764090
16085.667208	0.420963	-0.907078	4.600000	6.688208	6.700000	0.790341
16085.708876	-0.168020	-2.080452	4.192183	0.000000	6.407817	0.816592
16085.750544	-0.015795	-0.131944	3.915678	0.000000	6.584322	0.842843
16085.792213	0.702037	0.519930	3.623584	0.000000	6.700000	0.869094
16085.833881	0.102292	0.074320	3.136933	0.000000	6.792117	0.895345
16085.875549	-1.276320	0.188632	3.068378	0.000000	6.800000	0.921596
16085.917217	0.726586	1.110680	1.907928	0.000000	6.607928	0.947847
16085.958885	0.577178	0.985440	2.123849	0.000000	6.607950	0.974098
16086.000554	-0.171049	-0.282110	2.615944	0.000000	6.800000	0.999994
16086.042222	-1.818600	-2.712331	3.992006	0.000000	6.200000	0.999578
16086.083890	0.805074	-0.027846	3.591984	0.000000	6.508016	0.999161
16086.125558	0.310774	0.081115	2.840192	0.000000	6.691962	0.998744
16086.167226	0.208505	0.905496	2.975818	0.000000	6.700000	0.998328
16086.208895	0.082901	-0.405192	2.300000	0.000000	6.600000	0.997911
16086.250563	0.759179	0.398411	2.200000	0.000000	6.600000	0.997494
16086.292231	-0.265190	-0.222536	2.324381	1.081270	6.700000	0.997078
16086.333899	0.090907	0.253327	2.740746	35.570437	6.700000	0.996661
16086.375567	0.114009	0.168593	3.700000	49.898837	6.816342	0.996244
16086.417236	-1.594895	-0.551687	4.591807	113.000000	7.191807	0.995828
16086.458904	-0.203312	0.352749	5.008216	156.028271	7.100000	0.995411
